date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2014-12-31,110.38,111.50269999999999,105.72214,1.0,0.0,500.0,0.0,55190.0,77752.9,132942.9,-0.007984305988453344,0.3294290000000011
2015-01-02,109.33,111.6399,105.85554,1.0,0.0,500.0,0.0,54665.0,77752.9,132417.9,-0.003949063846207634,0.3241790000000011
2015-01-05,106.25,111.70509999999999,105.95833999999999,1.0,0.0,500.0,0.0,53125.0,77752.9,130877.9,-0.011629847626340561,0.308779000000001
2015-01-06,106.26,111.73369999999998,106.04853999999999,1.0,0.0,500.0,0.0,53130.0,77752.9,130882.9,3.820354697015027e-05,0.30882900000000113
2015-01-07,107.75,111.7843,106.15104,1.0,0.0,500.0,0.0,53875.0,77752.9,131627.9,0.005692111039715675,0.3162790000000011
2015-01-08,111.89,111.9199,106.29014000000001,1.0,0.0,500.0,0.0,55945.0,77752.9,133697.9,0.015726149243435517,0.33697900000000125
2015-01-09,112.01,112.0253,106.41864000000001,1.0,0.0,500.0,0.0,56005.0,77752.9,133757.9,0.00044877294258172107,0.3375790000000012
2015-01-12,109.25,112.0635,106.50584,1.0,0.0,500.0,0.0,54625.0,77752.9,132377.9,-0.010317147622682432,0.32377900000000115
2015-01-13,110.22,112.1283,106.60234,1.0,0.0,500.0,0.0,55110.0,77752.9,132862.9,0.00366375354194326,0.32862900000000117
2015-01-14,109.8,112.1643,106.69454,1.0,0.0,500.0,0.0,54900.0,77752.9,132652.9,-0.0015805766696346257,0.3265290000000012
2015-01-15,106.82,112.11269999999999,106.74954,1.0,0.0,500.0,0.0,53410.0,77752.9,131162.9,-0.011232321343898288,0.31162900000000104
2015-01-16,105.99,112.0605,106.79404000000001,1.0,0.0,500.0,0.0,52995.0,77752.9,130747.9,-0.0031640044555282243,0.30747900000000095
2015-01-20,108.72,112.05769999999998,106.87235000000001,1.0,0.0,500.0,0.0,54360.0,77752.9,132112.9,0.010439938232277512,0.3211290000000009
2015-01-21,109.55,112.07469999999999,106.94654999999999,1.0,0.0,500.0,0.0,54775.0,77752.9,132527.9,0.0031412526710108413,0.32527900000000076
2015-01-22,112.4,112.1425,107.04805,1.0,0.0,500.0,0.0,56200.0,77752.9,133952.9,0.010752452879733143,0.33952900000000064
2015-01-23,112.98,112.2255,107.15285,1.0,0.0,500.0,0.0,56490.0,77752.9,134242.9,0.002164940064754095,0.34242900000000054
2015-01-26,113.1,112.29350000000001,107.25085000000001,1.0,0.0,500.0,0.0,56550.0,77752.9,134302.9,0.0004469510119342601,0.3430290000000005
2015-01-27,109.14,112.25129999999999,107.35285,1.0,0.0,500.0,0.0,54570.0,77752.9,132322.9,-0.01474279408709711,0.32322900000000043
2015-01-28,115.31,112.3011,107.52475,1.0,0.0,500.0,0.0,57655.0,77752.9,135407.9,0.023314180689812503,0.35407900000000025
2015-01-29,118.9,112.3955,107.72404999999999,1.0,0.0,500.0,0.0,59450.0,77752.9,137202.9,0.01325624280414961,0.3720290000000004
2015-01-30,117.16,112.4589,107.91205,1.0,0.0,500.0,0.0,58580.0,77752.9,136332.9,-0.00634097384238963,0.36332900000000046
2015-02-02,118.63,112.5221,108.11845000000001,1.0,0.0,500.0,0.0,59315.0,77752.9,137067.9,0.005391215179901598,0.3706790000000004
2015-02-03,118.65,112.6017,108.29495000000001,1.0,0.0,500.0,0.0,59325.0,77752.9,137077.9,7.295654197658763e-05,0.3707790000000004
2015-02-04,119.56,112.6667,108.47625,1.0,0.0,500.0,0.0,59780.0,77752.9,137532.9,0.003319280496710375,0.37532900000000047
2015-02-05,119.94,112.73610000000001,108.65905000000001,1.0,0.0,500.0,0.0,59970.0,77752.9,137722.9,0.0013814876295052958,0.37722900000000026
2015-02-06,118.93,112.7422,108.83205,1.0,0.0,500.0,0.0,59465.0,77752.9,137217.9,-0.0036667830840041438,0.37217900000000026
2015-02-09,119.72,112.7846,109.02064999999999,1.0,0.0,500.0,0.0,59860.0,77752.9,137612.9,0.002878633181239376,0.37612900000000016
2015-02-10,122.02,112.845,109.22505,1.0,0.0,500.0,0.0,61010.0,77752.9,138762.9,0.008356774691907543,0.3876290000000002
2015-02-11,124.88,112.964,109.45594999999999,1.0,0.0,500.0,0.0,62440.0,77752.9,140192.9,0.010305348187447771,0.4019290000000002
2015-02-12,126.46,113.19179999999999,109.71095,1.0,0.0,500.0,0.0,63230.0,77752.9,140982.9,0.005635092790005736,0.4098290000000002
2015-02-13,127.08,113.44080000000002,109.97115,1.0,0.0,500.0,0.0,63540.0,77752.9,141292.9,0.0021988482291115385,0.4129290000000003
2015-02-17,127.83,113.67880000000001,110.22305,1.0,0.0,500.0,0.0,63915.0,77752.9,141667.9,0.0026540611736329822,0.41667900000000047
2015-02-18,128.715,113.9433,110.4927,1.0,0.0,500.0,0.0,64357.5,77752.9,142110.4,0.00312350221892177,0.42110400000000037
2015-02-19,128.45,114.21230000000001,110.7985,1.0,0.0,500.0,0.0,64224.99999999999,77752.9,141977.9,-0.0009323737038245961,0.41977900000000035
2015-02-20,129.495,114.5542,111.08595,1.0,0.0,500.0,0.0,64747.5,77752.9,142500.4,0.0036801502205625614,0.4250040000000004
2015-02-23,133.0,114.93180000000001,111.41485,1.0,0.0,500.0,0.0,66500.0,77752.9,144252.9,0.012298211092740763,0.4425290000000004
2015-02-24,132.17,115.3362,111.72905,1.0,0.0,500.0,0.0,66085.0,77752.9,143837.9,-0.0028768919030397466,0.4383790000000003
2015-02-25,128.79,115.67960000000001,112.02515000000001,1.0,0.0,500.0,0.0,64394.99999999999,77752.9,142147.9,-0.011749337274807314,0.42147900000000016
2015-02-26,130.415,116.0933,112.33030000000001,1.0,0.0,500.0,0.0,65207.49999999999,77752.9,142960.4,0.005715877617608056,0.4296040000000001
2015-02-27,128.46,116.498,112.6187,1.0,0.0,500.0,0.0,64230.00000000001,77752.9,141982.9,-0.0068375578132126025,0.419829
2015-03-02,129.09,116.94490000000002,112.9134,1.0,0.0,500.0,0.0,64545.0,77752.9,142297.9,0.0022185770258249526,0.422979
